Pokédex number;IMAGE;Name;Type 1;Type 2;HP;Atk;Def;SpA;SpD;Spe;Total Stats;Ability 1;New Ability Description;Ability 2;Physical Description;Weaknesses;Strengths;Evolution;Evolution Level;Evolution Condition;Overall Rating;Image link;Prompt;Variant ID
43;#VALUE!;Rockscorpio;Rock;Poison;75;100;85;60;75;90;485;Battle Armor;The Pokémon with this ability is protected from critical hits. This means that all moves used against the Pokémon will deal standard damage, never a critical hit that would deal increased damage.;Sniper;Scorpion-like creature with rocky exoskeleton and venomous stinger;Water, Ground, Psychic, Steel;Rock, Poison, Flying, Bug;Final Stage;;;231;;"/imagine prompt:Rockscorpio Regular Pokemon; Rock/Poison; Scorpion-like creature with rocky exoskeleton and venomous stinger; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
92;#VALUE!;Skylotus;Grass;Flying;80;70;65;105;75;90;485;Chlorophyll;;Infiltrator;Graceful, lotus-like Pokémon with petal wings and floating vines;Fire, Ice, Poison, Flying, Rock, Bug;Grass, Water, Ground, Fighting;Final Stage;;;230;;"/imagine prompt:Skylotus Regular Pokemon; Grass/Flying; Graceful, lotus-like Pokémon with petal wings and floating vines; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
52;#VALUE!;Leafdrillarch;Bug;Grass;75;100;65;60;70;110;480;Swarm;Powers up Bug moves when in trouble;Overgrow;A larger leafy insect with multiple sharp horns;Fire, Flying, Rock;Grass, Ground;Final Stage;;;230;;"/imagine prompt:Leafdrillarch Regular Pokemon; Bug/Grass; A larger leafy insect with multiple sharp horns; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
36;#VALUE!;Frostifly;Bug;Ice;70;85;60;90;70;100;475;Compound Eyes;;Ice Body;Large, icy blue butterfly with crystal-like wings and legs;Fire, Rock, Steel, Flying;Bug, Ice, Ground, Grass;Final Stage;;;225;;"/imagine prompt:Frostifly Regular Pokemon; Bug/Ice; Large, icy blue butterfly with crystal-like wings and legs; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
16;#VALUE!;Blazeopard;Fire;;70;85;65;85;65;105;475;Blaze;;Rivalry;Bigger, leopard-like, flame patterns, agile;Water, Ground, Rock;Fire, Ice, Bug, Steel;Infernostalker;36;;224;;"/imagine prompt:Blazeopard Regular Pokemon; Fire/; Bigger, leopard-like, flame patterns, agile; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
2;#VALUE!;Wavewing;Water;Flying;70;80;65;90;60;110;475;Swift Swim;;Drizzle;Larger fish, wings enlarged, feathery tail;Electric, Grass, Rock;Water, Fire, Ground, Bug;Aquaphoon;35;;224;;"/imagine prompt:Wavewing Regular Pokemon; Water/Flying; Larger fish, wings enlarged, feathery tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
19;#VALUE!;Surfrider;Water;;80;75;95;70;85;65;470;Torrent;;Shell Armor;Bigger, more armored shell, wave-like patterns;Electric, Grass;Water, Fire, Ground, Rock;Tsunarmor;36;;221;;"/imagine prompt:Surfrider Regular Pokemon; Water/; Bigger, more armored shell, wave-like patterns; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
100;#VALUE!;Dracobark;Dragon;Grass;70;90;75;75;65;90;465;Chlorophyll;;Sap Sipper;Dragon-like creature with a tree bark armor and foliage-covered tail;Ice, Dragon, Fairy, Poison, Bug, Flying;Dragon, Grass, Water;Arborwyrm;40;;212;;"/imagine prompt:Dracobark Regular Pokemon; Dragon/Grass; Dragon-like creature with a tree bark armor and foliage-covered tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
22;#VALUE!;Vinewolf;Grass;;75;80;65;85;70;85;460;Overgrow;;Leaf Guard;Wolf-like, larger vines, grass fur, agile;Fire, Ice, Poison, Flying;Grass, Water, Ground;Floracanine;36;;207;;"/imagine prompt:Vinewolf Regular Pokemon; Grass/; Wolf-like, larger vines, grass fur, agile; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
44;#VALUE!;Frosthoot;Ice;Ghost;60;65;60;95;90;85;455;Snow Warning;When a Pokémon with this ability enters the battle, it causes hail to start, which lasts for 5 turns (8 turns if the Pokémon is holding an Icy Rock). Hail deals damage to all non-Ice-type Pokémon at the end of each turn and boosts the power of Ice-type moves by 50% for Ice-type Pokémon with the Slush Rush, Ice Body, or Snow Cloak abilities.;Cursed Body;Ghostly owl-like creature with icy feathers and chilling gaze;Fire, Rock, Ghost, Dark, Steel;Ice, Ghost, Psychic, Flying;Final Stage;;;200;;"/imagine prompt:Frosthoot Regular Pokemon; Ice/Ghost; Ghostly owl-like creature with icy feathers and chilling gaze; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
84;#VALUE!;Terracoon;Ground;Fighting;70;95;90;40;80;70;445;Guts;Boosts Attack if there is a status condition.;Iron Fist;A raccoon-like Pokémon with tough, rugged fur and a strong tail.;Water, Psychic, Ice, Flying, Grass;Ground, Rock, Dark, Steel;Terracrusher;35;;199;;"/imagine prompt:Terracoon Regular Pokemon; Ground/Fighting; A raccoon-like Pokémon with tough, rugged fur and a strong tail.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
88;#VALUE!;Shadestone;Ghost;Rock;60;80;110;50;105;45;450;Solid Rock;;Cursed Body;Shadowy, stone-like creature with glowing eyes and jagged edges;Water, Grass, Ghost, Steel, Dark;Ghost, Rock, Flying, Bug;Final Stage;;;199;;"/imagine prompt:Shadestone Regular Pokemon; Ghost/Rock; Shadowy, stone-like creature with glowing eyes and jagged edges; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
94;#VALUE!;Starwhirl;Psychic;;60;50;70;90;80;100;450;Synchronize;;Levitate;Star-shaped Pokémon with a swirling, cosmic design;Dark, Ghost, Bug;Psychic, Fighting;Stardance;35;;199;;"/imagine prompt:Starwhirl Regular Pokemon; Psychic/; Star-shaped Pokémon with a swirling, cosmic design; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
78;#VALUE!;Dracocanine;Dragon;Normal;75;100;60;70;60;80;445;Multiscale;Reduces damage when HP is full.;Strong Jaw;A larger, fierce dragon-like canine with a strong, sturdy body.;Dragon, Fighting, Ice;Normal, Fire, Water;Dracolupus;36;;193;;"/imagine prompt:Dracocanine Regular Pokemon; Dragon/Normal; A larger, fierce dragon-like canine with a strong, sturdy body.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
68;#VALUE!;Moonhare;Fairy;;70;75;60;95;85;65;450;Moonlit Grace;When a Pokémon with the Moonlit Grace ability enters the battle, it sets up a moonlight condition for 5 turns. The moonlight condition boosts the power of Dark-type and Fairy-type moves by 50%;;A larger, hare-like Pokémon with a more pronounced crescent moon marking on its forehead. Its fur is even more radiant, and its ears are longer, giving it a graceful appearance.;Steel, Poison;Dark, Bug, Fighting;Moonalope;40;;193;;"/imagine prompt:Moonhare Regular Pokemon; Fairy/; A larger, hare-like Pokémon with a more pronounced crescent moon marking on its forehead. Its fur is even more radiant, and its ears are longer, giving it a graceful appearance.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
41;#VALUE!;Psycloud;Psychic;Flying;60;50;70;90;75;95;440;Magic Bounce;None;Keen Eye;Fluffy cloud-like creature with psychic energy and bird-like wings;Electric, Ice, Rock, Ghost, Dark;Psychic, Flying, Fighting, Ground;Stormind;30;;189;;"/imagine prompt:Psycloud Regular Pokemon; Psychic/Flying; Fluffy cloud-like creature with psychic energy and bird-like wings; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
46;#VALUE!;Chillpeck;Ice;Flying;60;85;55;75;60;100;435;Snow Cloak;During hail, the Pokémon's evasiveness increases by 20%. This ability works in conjunction with the Snow Warning ability or any other effect that causes hail, making the Pokémon harder to hit with moves during hail.;Keen Eye;Small, plump bird with icy feathers and a sharp beak;Fire, Rock, Electric, Steel;Ice, Flying, Ground, Grass;Frostalon;24;;189;;"/imagine prompt:Chillpeck Regular Pokemon; Ice/Flying; Small, plump bird with icy feathers and a sharp beak; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
109;#VALUE!; Solarkit;Fire;Normal;60;80;60;75;60;100;435; Blaze;; Solar Power; Small feline creature with a sun-shaped pattern on its fur and a fiery tail; Water, Ground, Rock; Fire, Normal, Psychic;Solarouge;32;;188;;"/imagine prompt: Solarkit Regular Pokemon; Fire/Normal;  Small feline creature with a sun-shaped pattern on its fur and a fiery tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
111;#VALUE!; Tidalkit;Water;Normal;60;75;60;80;60;100;435; Torrent;; Swift Swim; Small feline creature with a moon-shaped pattern on its fur and a watery tail; Electric, Grass, Fighting; Water, Normal, Psychic;Lunarouge;32;;188;;"/imagine prompt: Tidalkit Regular Pokemon; Water/Normal;  Small feline creature with a moon-shaped pattern on its fur and a watery tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
113;#VALUE!; Stormkit;Electric;Normal;60;70;60;85;60;100;435; Static;; Galvanize; Small feline creature with a lightning bolt-shaped pattern on its fur and an electric tail; Ground, Fighting; Electric, Normal, Psychic;Thunderouge;32;;188;;"/imagine prompt: Stormkit Regular Pokemon; Electric/Normal;  Small feline creature with a lightning bolt-shaped pattern on its fur and an electric tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
9;#VALUE!;Windfang;Dark;Flying;65;85;60;70;60;95;435;Intimidate;;Unburden;Bigger, bat-like wings, sharp fangs, darker;Electric, Ice, Rock, Fairy;Psychic, Ghost, Dark, Grass;Galefang;36;;187;;"/imagine prompt:Windfang Regular Pokemon; Dark/Flying; Bigger, bat-like wings, sharp fangs, darker; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
48;#VALUE!;Slumbersnake;Psychic;Poison;65;60;75;90;80;60;430;Synchronize;When a Pokémon with this ability is inflicted with a status condition (burn, poison, or paralysis), the opponent Pokémon will also receive the same status condition, provided it doesn't have immunity to that status condition.;Shed Skin;Serpent-like creature with hypnotic patterns on its scales;Ground, Psychic, Ghost;Psychic, Poison, Grass, Fighting;Dreamcobra;30;;179;;"/imagine prompt:Slumbersnake Regular Pokemon; Psychic/Poison; Serpent-like creature with hypnotic patterns on its scales; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
107;#VALUE!; Aurorox;Ice;Rock;60;75;85;65;80;55;420; Snow Warning;; Refrigerate; Prehistoric creature resembling a woolly rhinoceros with crystalline spikes; Fire, Steel, Water, Grass, Fighting, Ground, Rock; Ice, Rock, Flying, Bug;Glacihorn;35;;171;;"/imagine prompt: Aurorox Regular Pokemon; Ice/Rock;  Prehistoric creature resembling a woolly rhinoceros with crystalline spikes; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
55;#VALUE!;Stoneshell;Rock;Water;60;75;105;45;70;45;400;Solid Rock;Reduces damage from super-effective moves;Sturdy;A turtle with a rock-like shell;Grass, Fighting, Ground;Fire, Flying;Boulderstone;28;;163;;"/imagine prompt:Stoneshell Regular Pokemon; Rock/Water; A turtle with a rock-like shell; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
98;#VALUE!;Galewing;Electric;Flying;55;65;55;70;60;100;405;Static;;Motor Drive;Small bird with electrically charged feathers and wind-shaped wings;Rock, Ice, Ground;Electric, Flying, Bug, Grass;Zephyraptor;30;;161;;"/imagine prompt:Galewing Regular Pokemon; Electric/Flying; Small bird with electrically charged feathers and wind-shaped wings; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
80;#VALUE!;Fungoom;Poison;Grass;70;50;70;95;80;40;405;Effect Spore;May cause status conditions if hit by contact moves.;Poison Heal;A mushroom-like creature with a colorful cap and a mischievous grin.;Fire, Psychic, Flying, Ice;Water, Electric, Fairy, Grass;Fungogre;32;;161;;"/imagine prompt:Fungoom Regular Pokemon; Poison/Grass; A mushroom-like creature with a colorful cap and a mischievous grin.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
82;#VALUE!;Tidaloon;Water;Flying;65;45;50;80;60;100;400;Drizzle;Summons rain when entering battle.;Swift Swim;A waterfowl-like Pokémon with inflatable pouches and vibrant plumage.;Electric, Rock;Water, Ground, Fire, Fighting;Galeswimmer;30;;158;;"/imagine prompt:Tidaloon Regular Pokemon; Water/Flying; A waterfowl-like Pokémon with inflatable pouches and vibrant plumage.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
105;#VALUE!;Venomwing;Bug;Poison;55;65;55;80;55;90;400;Compound Eyes;;Toxic Boost;Insect-like creature with poisonous wings and a stinger;Fire, Flying, Rock, Psychic;Bug, Grass, Fairy, Fighting;Toxifly;30;;156;;"/imagine prompt:Venomwing Regular Pokemon; Bug/Poison; Insect-like creature with poisonous wings and a stinger; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
96;#VALUE!;Wispflare;Fire;Ghost;50;60;50;80;50;90;380;Flash Fire;;Cursed Body;Flame-like creature with ghostly features and eerie glow;Water, Ground, Rock, Ghost, Dark;Fire, Psychic, Bug;Spiritflame;25;;141;;"/imagine prompt:Wispflare Regular Pokemon; Fire/Ghost; Flame-like creature with ghostly features and eerie glow; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
37;#VALUE!;Glimmerfin;Water;Fairy;60;45;55;75;70;65;370;Swift Swim;;Pixilate;Small, fish-like Pokémon with shimmering, iridescent scales;Electric, Grass, Poison;Water, Fire, Fighting, Dragon;Lumifin;26;;137;;"/imagine prompt:Glimmerfin Regular Pokemon; Water/Fairy; Small, fish-like Pokémon with shimmering, iridescent scales; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
39;#VALUE!;Pyroscorch;Fire;Poison;55;75;50;60;50;80;370;Blaze;;Corrosion;Red and purple salamander with flaming body and poisonous barbs;Water, Ground, Rock, Psychic;Fire, Poison, Bug, Grass;Venomburst;32;;134;;"/imagine prompt:Pyroscorch Regular Pokemon; Fire/Poison; Red and purple salamander with flaming body and poisonous barbs; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
75;#VALUE!;Echotangle;Normal;Psychic;60;60;60;60;60;60;360;Echo Chamber;Copies the last move used by the opponent for 3 turns;Prankster;A small, furry Pokémon with large ears that resemble satellite dishes, capable of picking up distant sounds.;Fighting, Bug, Dark;Psychic, Normal;Single stage;;;130;;"/imagine prompt:Echotangle Regular Pokemon; Normal/Psychic; A small, furry Pokémon with large ears that resemble satellite dishes, capable of picking up distant sounds.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
90;#VALUE!;Dracoon;Dragon;;58;70;55;60;50;62;355;Shed Skin;;Strong Jaw;Dragon-like raccoon with large fangs and scales;Ice, Dragon, Fairy;Dragon, Fire, Water, Electric, Grass;Dracoshell;30;;122;;"/imagine prompt:Dracoon Regular Pokemon; Dragon/; Dragon-like raccoon with large fangs and scales; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
1;#VALUE!;Aquaswift;Water;;50;60;45;70;40;90;355;Swift Swim;;Rain Dish;Small blue fish, streamlined body, fin-like wings;Electric, Grass;Water, Fire, Ground, Rock;Wavewing;17;;122;;"/imagine prompt:Aquaswift Regular Pokemon; Water/; Small blue fish, streamlined body, fin-like wings; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
33;#VALUE!;Lavadillo;Fire;;58;66;54;60;48;64;350;Blaze;;None;Small, red, armadillo-like, lava-like armor;Water, Ground, Rock;Fire;Magmaarmor;30;;118;;"/imagine prompt:Lavadillo Regular Pokemon; Fire/; Small, red, armadillo-like, lava-like armor; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
103;#VALUE!;Claypup;Ground;;60;70;65;40;50;55;340;Sand Force;;Stamina;Small, brown puppy with clay-like fur and playful nature;Water, Grass, Ice;Ground, Electric, Rock;Mudhound;25;;117;;"/imagine prompt:Claypup Regular Pokemon; Ground/; Small, brown puppy with clay-like fur and playful nature; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
4;#VALUE!;Emberhorn;Fire;;50;70;40;60;40;85;345;Blaze;;Run Away;Fiery red fawn, horn on forehead, flame tail;Water, Ground, Rock;Fire, Ice, Bug, Steel;Magmalance;17;;115;;"/imagine prompt:Emberhorn Regular Pokemon; Fire/; Fiery red fawn, horn on forehead, flame tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
51;#VALUE!;Leafdriller;Bug;Grass;55;70;45;40;50;80;340;Swarm;Powers up Bug moves when in trouble;Overgrow;A leafy insect with a sharp, drill-like horn;Fire, Flying, Rock;Grass, Ground;Leafdrillarch;20;;113;;"/imagine prompt:Leafdriller Regular Pokemon; Bug/Grass; A leafy insect with a sharp, drill-like horn; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
18;#VALUE!;Aquaturtle;Water;;55;55;65;50;60;45;330;Torrent;;Shell Armor;Small, blue turtle, metallic shell, round;Electric, Grass;Water, Fire, Ground, Rock;Surfrider;18;;113;;"/imagine prompt:Aquaturtle Regular Pokemon; Water/; Small, blue turtle, metallic shell, round; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
15;#VALUE!;Pyrokit;Fire;;50;60;45;60;45;80;340;Blaze;;Rivalry;Small fiery kitten, black spots, agile;Water, Ground, Rock;Fire, Ice, Bug, Steel;Blazeopard;18;;112;;"/imagine prompt:Pyrokit Regular Pokemon; Fire/; Small fiery kitten, black spots, agile; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
53;#VALUE!;Glimmertail;Dragon;Fairy;50;60;40;70;55;65;340;Marvel Scale;Raises Defense if the Pokémon has a status;Serene Grace;A small, cute dragon with a shimmering tail;Steel, Poison, Fairy;Dark, Dragon;Glimmerwing;30;;112;;"/imagine prompt:Glimmertail Regular Pokemon; Dragon/Fairy; A small, cute dragon with a shimmering tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
132;#VALUE!;Swiftrunner ;Normal;;40;60;40;60;40;100;340;Accelerate ;Boosts Speed by one stage every turn ;;Swiftrunner is a small, agile fox-like Pokémon with a slim, streamlined body built for speed. Its fur is a light, sandy color, and its eyes have a determined, focused expression;;;Blitzstreak ;35;;111;;"/imagine prompt:Swiftrunner  Regular Pokemon; Normal/; Swiftrunner is a small, agile fox-like Pokémon with a slim, streamlined body built for speed. Its fur is a light, sandy color, and its eyes have a determined, focused expression; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
30;#VALUE!;Fernile;Grass;;55;60;50;55;45;70;335;Overgrow;;None;Small, green, feline-like, leafy tail;Fire, Ice, Poison, Flying, Bug;Grass;Leaflinx;16;;111;;"/imagine prompt:Fernile Regular Pokemon; Grass/; Small, green, feline-like, leafy tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
21;#VALUE!;Leafpup;Grass;;55;55;45;60;50;60;325;Overgrow;;Pickup;Green, leafy puppy, small vines, playful;Fire, Ice, Poison, Flying;Grass, Water, Ground;Vinewolf;18;;104;;"/imagine prompt:Leafpup Regular Pokemon; Grass/; Green, leafy puppy, small vines, playful; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
11;#VALUE!;Sunquiver;Fire;;45;40;50;65;55;70;325;Flash Fire;;Solar Power;Small sun-shaped body, arrow-like tail;Water, Ground, Rock;Fire, Ice, Bug, Steel;Solarcher;20;;103;;"/imagine prompt:Sunquiver Regular Pokemon; Fire/; Small sun-shaped body, arrow-like tail; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
35;#VALUE!;Crystabug;Bug;Ice;45;60;40;55;45;70;315;Compound Eyes;;Ice Body;Icy blue insect with crystal-like wings and legs;Fire, Rock, Steel, Flying;Bug, Ice, Ground, Grass;Frostifly;20;;96;;"/imagine prompt:Crystabug Regular Pokemon; Bug/Ice; Icy blue insect with crystal-like wings and legs; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
77;#VALUE!;Dracopup;Dragon;Normal;50;65;40;50;40;60;305;Multiscale;Reduces damage when HP is full.;Strong Jaw;A small, playful dragon-like puppy with fluffy fur and large ears.;Dragon, Fighting, Ice;Normal, Fire, Water;Dracocanine;16;;89;;"/imagine prompt:Dracopup Regular Pokemon; Dragon/Normal; A small, playful dragon-like puppy with fluffy fur and large ears.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
8;#VALUE!;Breezepup;Dark;;45;60;40;45;40;70;300;Pickup;;Unburden;Dark grey puppy, wind-like patterns, swift;Fighting, Bug, Fairy;Psychic, Ghost, Dark;Windfang;18;;86;;"/imagine prompt:Breezepup Regular Pokemon; Dark/; Dark grey puppy, wind-like patterns, swift; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
67;#VALUE!;Moonkit;Fairy;;45;50;40;60;55;40;290;Moonlit Grace;When a Pokémon with the Moonlit Grace ability enters the battle, it sets up a moonlight condition for 5 turns. The moonlight condition boosts the power of Dark-type and Fairy-type moves by 50%;;A small, rabbit-like Pokémon with a crescent moon marking on its forehead. It has large, gentle eyes and soft fur that shimmers in moonlight.;Steel, Poison;Dark, Bug, Fighting;Moonhare;20;;82;;"/imagine prompt:Moonkit Regular Pokemon; Fairy/; A small, rabbit-like Pokémon with a crescent moon marking on its forehead. It has large, gentle eyes and soft fur that shimmers in moonlight.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
134;#VALUE!;Weebble ;Rock;;50;40;60;20;40;20;230;Sturdy ;Pokémon cannot be knocked out with one hit ;;Weebble is a small, round pebble-like Pokémon with tiny arms and legs. It has a simple, yet charming, face with round eyes and a small, happy smile.;;;Crumboulder ;25;;65;;"/imagine prompt:Weebble  Regular Pokemon; Rock/; Weebble is a small, round pebble-like Pokémon with tiny arms and legs. It has a simple, yet charming, face with round eyes and a small, happy smile.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
130;#VALUE!;Frailope ;Bug;;20;20;20;20;20;20;120;Soft Shell ;Doubles Defense and Special Defense but takes 2x damage ;;"Frailope is a tiny, fragile caterpillar-like Pokémon with a soft, delicate body. Its large, round eyes give it an innocent appearance.
";;;Titanant ;20;;0;;"/imagine prompt:Frailope  Regular Pokemon; Bug/; Frailope is a tiny, fragile caterpillar-like Pokémon with a soft, delicate body. Its large, round eyes give it an innocent appearance.
; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
